Entity,Year,Temperature
Global,1850,-0.4177114
Global,1851,-0.2333498
Global,1852,-0.22939907
Global,1853,-0.27035445
Global,1854,-0.29152083
Global,1855,-0.29691675
Global,1856,-0.32035372
Global,1857,-0.46723005
Global,1858,-0.3887657
Global,1859,-0.28126517
Global,1860,-0.39016518
Global,1861,-0.42911294
Global,1862,-0.5363694
Global,1863,-0.34424406
Global,1864,-0.46546507
Global,1865,-0.33248132
Global,1866,-0.3412875
Global,1867,-0.35699412
Global,1868,-0.35182714
Global,1869,-0.31659195
Global,1870,-0.32792753
Global,1871,-0.36856276
Global,1872,-0.32811058
Global,1873,-0.3412969
Global,1874,-0.3732512
Global,1875,-0.37562594
Global,1876,-0.4241099
Global,1877,-0.10110884
Global,1878,-0.011315192
Global,1879,-0.30363432
Global,1880,-0.31583205
Global,1881,-0.23224552
Global,1882,-0.29553008
Global,1883,-0.3464744
Global,1884,-0.49232006
Global,1885,-0.47112358
Global,1886,-0.42090362
Global,1887,-0.49878576
Global,1888,-0.37937889
Global,1889,-0.24989556
Global,1890,-0.50685817
Global,1891,-0.40131494
Global,1892,-0.5075585
Global,1893,-0.49461922
Global,1894,-0.48376393
Global,1895,-0.4487516
Global,1896,-0.28400728
Global,1897,-0.25980017
Global,1898,-0.48579213
Global,1899,-0.35543364
Global,1900,-0.2344939
Global,1901,-0.29341024
Global,1902,-0.43895653
Global,1903,-0.5332871
Global,1904,-0.59751105
Global,1905,-0.40779322
Global,1906,-0.31910878
Global,1907,-0.5040763
Global,1908,-0.5138197
Global,1909,-0.53568715
Global,1910,-0.5309095
Global,1911,-0.539079
Global,1912,-0.47553864
Global,1913,-0.4670111
Global,1914,-0.26243657
Global,1915,-0.19167219
Global,1916,-0.42002314
Global,1917,-0.5428197
Global,1918,-0.4243641
Global,1919,-0.32528907
Global,1920,-0.29835507
Global,1921,-0.24044435
Global,1922,-0.3390137
Global,1923,-0.31768188
Global,1924,-0.3118017
Global,1925,-0.28214198
Global,1926,-0.122555
Global,1927,-0.2291136
Global,1928,-0.20646581
Global,1929,-0.39244303
Global,1930,-0.17680542
Global,1931,-0.103397675
Global,1932,-0.14546171
Global,1933,-0.32234442
Global,1934,-0.17433685
Global,1935,-0.20605923
Global,1936,-0.16952094
Global,1937,-0.019198947
Global,1938,-0.012200737
Global,1939,-0.040797204
Global,1940,0.07593582
Global,1941,0.0381293
Global,1942,0.001406068
Global,1943,0.006421582
Global,1944,0.14410514
Global,1945,0.043088354
Global,1946,-0.11881461
Global,1947,-0.09120561
Global,1948,-0.12466127
Global,1949,-0.14380223
Global,1950,-0.2266218
Global,1951,-0.06115396
Global,1952,0.015354548
Global,1953,0.07763075
Global,1954,-0.11675023
Global,1955,-0.19730994
Global,1956,-0.26316562
Global,1957,-0.035334915
Global,1958,-0.017632563
Global,1959,-0.048004813
Global,1960,-0.11545958
Global,1961,-0.019999769
Global,1962,-0.06404272
Global,1963,-0.036810614
Global,1964,-0.30586153
Global,1965,-0.20442048
Global,1966,-0.1488976
Global,1967,-0.117539294
Global,1968,-0.16864756
Global,1969,-0.03138624
Global,1970,-0.08506408
Global,1971,-0.20588905
Global,1972,-0.09379131
Global,1973,0.04995016
Global,1974,-0.17252657
Global,1975,-0.110754214
Global,1976,-0.2158369
Global,1977,0.1030885
Global,1978,0.005255972
Global,1979,0.09085814
Global,1980,0.19607204
Global,1981,0.25001204
Global,1982,0.034268282
Global,1983,0.22380984
Global,1984,0.04799352
Global,1985,0.049729742
Global,1986,0.09568698
Global,1987,0.2430264
Global,1988,0.2821517
Global,1989,0.1792503
Global,1990,0.36058238
Global,1991,0.33889654
Global,1992,0.12489683
Global,1993,0.16570719
Global,1994,0.23354979
Global,1995,0.37686613
Global,1996,0.27668938
Global,1997,0.4223085
Global,1998,0.5773417
Global,1999,0.32448497
Global,2000,0.33108476
Global,2001,0.48928034
Global,2002,0.5434665
Global,2003,0.54417014
Global,2004,0.46737072
Global,2005,0.6068625
Global,2006,0.5725527
Global,2007,0.5917013
Global,2008,0.46564984
Global,2009,0.5967816
Global,2010,0.6803714
Global,2011,0.53769773
Global,2012,0.57760704
Global,2013,0.6235753
Global,2014,0.67287165
Global,2015,0.8251144
Global,2016,0.9329271
Global,2017,0.84517425
Global,2018,0.76265407
Global,2019,0.8910726
Global,2020,0.9229205
Global,2021,0.76190555
Global,2022,0.8013053
Global,2023,1.1003127
Global,2024,1.183945
